Cython,NumPy
64488800,192982000
64574200,192099400
64746700,193200100
64764300,195900600
66223100,192530400
68928500,193838500
65542400,192812500
65034100,192822400
64784600,195914800
64590500,192694300
64661200,192947800
64513800,193355500
65724400,192110400
65367900,194658400
65035700,194358800
64609300,192058100
64404300,194226700
64778300,192460900
64893000,194778100
64550200,193911200
68805800,193603000
65760200,193406300
65653400,192758200
64522300,192496300
64619600,195753400
64597100,192219900
64703400,192172200
64430000,193579500
65158000,192422500
65609000,194997400
64278400,193559800
64775700,192290100
70868900,194086300
64610700,192339700
64587400,194511900
66543800,193366600
67875600,192059400
66766200,193006000
64630400,193431200
64371600,194291500
64552200,192608400
64648100,193237500
65095500,192522700
64892000,193190900
65179000,194730200
65918400,192286900
66745100,193292800
64635000,194718900
64744200,193443100
65080100,193296100
64510500,195169700
69073300,192069900
65443700,193300900
66208000,193071700
64694100,193290700
64610800,195282100
64874200,192036200
65155400,193839500
65130200,192496300
64490900,192712400
65786700,195019800
67151900,192435200
64395600,192926100
64514200,193985700
64941200,191995800
64488400,195463400
68585200,193037000
65806800,192159400
65420500,194298300
65634500,192356900
65848800,199668700
64683000,194031700
64846300,192725900
64406300,193318800
64811600,192440200
65109800,194416400
64397100,194784200
65507100,192466400
64968900,192831400
64779400,194890800
64473600,192758000
66050000,195733000
67696500,193616300
65339800,192298000
64807400,193769000
66142500,193257800
64560900,194767500
64430300,193510600
64620700,192720600
64623500,192526600
64603500,193705200
65120600,194398700
64671600,192485000
65435100,193140600
65372500,192899500
64740100,193026400
65131900,195718700
68649100,193074400
65298300,193938600
65095300,193116300
64455700,193111800
65238000,195939400
65714200,194245000
64726900,191957900
65374900,193767900
64471500,193193700
64828200,194850800
64685200,194463300
65124300,191879900
64897800,193868300
66156500,192283100
64560200,192557600
67260900,196158800
66256100,192695900
65728700,193239300
64503500,194322300
64746100,192727500
64768300,196010800
66235200,192928100
64754900,192215600
64698000,193963900
64794600,191934600
64899000,194648900
65094400,194153800
64721700,192234500
64414200,192843500
66352900,192947600
64779800,194336900
69012400,194333400
65385500,192009100
64814500,192645700
64656300,193498600
64582800,193683300
64710800,193586200
65841600,193163100
64764500,192874500
64625500,193230300
64996000,192827900
65277500,194852900
64606400,193550400
64734100,192589100
64690300,192367700
66093400,193085200
68518700,194687500
65727000,192488700
64981900,193192400
65020900,193003700
64922800,193263400
64969300,195121800
64954700,192764400
65996400,193729400
65475600,193399600
64831100,192483800
64748900,195790200
65066300,193319100
65463400,191768400
64669700,193687700
64952300,192181600
68231400,193617100
126044400,193968200
93576200,192054200
79417500,194143000
64801800,192774500
64211200,192290400
64318000,196284100
65811100,192618800
64478200,192604100
64444600,193620500
64140700,192557800
64525000,196000100
64486900,192078800
63963400,192225600
64236300,194082000
69916200,191654500
